,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop
2022-04-07 17:38:00,1.25767,1.25794,1.25767,1.25794,82,0,0,1.25722,1.25772,1.25827,0.00031,0.00032,0.00024,1.2578,1.2576544355994626,1.25794,1.2576544355994626,,,,,,1.0,buy break even,2022-04-07 18:02:00,1.25797,1.2574
2022-04-07 18:05:00,1.25836,1.25856,1.2583,1.25854,106,0,0,1.25752,1.25801,1.25843,0.00031,0.00031,0.00026,1.25844,1.2582658588549078,1.25856,1.2582658588549078,,,,,,1.0,buy win_3,2022-04-07 18:29:00,1.2585899999999999,1.25792
2022-04-07 19:16:00,1.25939,1.25943,1.25935,1.25941,34,0,0,1.25857,1.25912,1.25948,0.00024,0.00026,0.00028,1.2594,1.2592745705940342,1.25943,1.2592745705940342,,,,,,1.0,buy win_3,2022-04-07 19:28:00,1.25946,1.25908
2022-04-08 17:18:00,1.26077,1.26094,1.26072,1.26085,72,0,0,1.26009,1.26043,1.26078,0.00026,0.00026,0.00023,1.26082,1.2606333893017978,1.26094,1.2606333893017978,,,,,,1.0,buy lose,2022-04-08 17:52:00,1.26097,1.2603900000000001
2022-04-11 16:06:00,1.25976,1.25995,1.25976,1.25992,75,0,0,1.25971,1.25988,1.26006,0.00019,0.00019,0.00019,1.25985,1.2596228722046088,1.25995,1.2596228722046088,,,,,,1.0,buy win_3,2022-04-11 16:28:00,1.2599799999999999,1.25938
2022-04-11 17:52:00,1.26217,1.26245,1.26203,1.26231,112,0,0,1.26104,1.26152,1.262,0.00029,0.00028,0.00025,1.26224,1.261843415474862,1.26245,1.261843415474862,,,,,,1.0,buy lose,2022-04-11 17:54:00,1.2619850000000001,1.26149
2022-04-11 18:09:00,1.26155,1.26165,1.26153,1.26165,38,0,0,1.26113,1.26154,1.2618,0.00025,0.00027,0.00026,1.2616,1.26152822542889,1.26165,1.26152822542889,,,,,,1.0,buy win_3,2022-04-11 18:25:00,1.26168,1.26137
2022-04-12 11:04:00,1.26466,1.26478,1.26466,1.26477,75,0,0,1.26451,1.26464,1.26484,0.00022,0.00023,0.00017,1.26472,1.2645266660042942,1.26478,1.2645266660042942,,,,,,1.0,buy win_3,2022-04-12 11:26:00,1.26481,1.26427
2022-04-13 14:34:00,1.26437,1.26466,1.26433,1.26459,66,0,0,1.26449,1.2647,1.26472,0.00022,0.00021,0.00016,1.26449,1.2642894487809166,1.26466,1.2642894487809166,,,,,,1.0,buy win_3,2022-04-13 14:41:00,1.26429,1.26389
2022-04-13 14:41:00,1.26509,1.26542,1.26509,1.26541,56,0,1,1.26452,1.26472,1.26477,0.00023,0.00022,0.00016,1.26525,1.265005151943601,1.26542,1.265005151943601,,,,,,1.0,buy win_3,2022-04-13 15:26:00,1.264975,1.2645
2022-04-14 19:36:00,1.26166,1.26188,1.26164,1.26185,52,0,0,1.26058,1.26152,1.26203,0.00022,0.00022,0.00034,1.26176,1.2616269185252342,1.26188,1.2616269185252342,,,,,,1.0,buy win_3,2022-04-14 19:40:00,1.2619099999999999,1.26146
