,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop
2022-04-26 17:46:00,127.195,127.222,127.191,127.206,209,0,0,127.34373,127.26772,127.24218,0.03627,0.03491,0.03939,127.2035,127.2337676403425,127.2337676403425,127.191,,,,,,1.0,sell break even,2022-04-26 18:12:00,127.24000000000001,127.292
2022-04-27 10:36:00,127.78,127.833,127.779,127.828,188,0,0,127.79378,127.84011,127.84986,0.03892,0.03869,0.0284,127.805,127.7677683567374,127.833,127.7677683567374,1.0,buy break even,2022-04-27 10:45:00,127.7815,127.727,,,,,
2022-04-27 10:47:00,127.838,127.842,127.824,127.825,153,0,0,127.79817,127.83934,127.84441,0.03482,0.0349,0.02919,127.83225,127.81156556072106,127.842,127.81156556072106,1.0,buy break even,2022-04-27 11:24:00,127.845,127.776,,,,,
2022-04-27 11:36:00,127.853,127.872,127.848,127.871,178,0,0,127.83867,127.87306,127.87993,0.02881,0.02901,0.03127,127.861,127.8362301020885,127.872,127.8362301020885,1.0,buy win_3,2022-04-27 11:39:00,127.839,127.803,,,,,
2022-04-27 11:39:00,127.909,127.931,127.906,127.924,99,0,0,127.84069,127.87477,127.88304,0.02841,0.02884,0.03139,127.9175,127.88127876276108,127.931,127.88127876276108,1.0,buy break even,2022-04-27 11:48:00,127.877,127.82,,,,,
2022-04-27 11:50:00,127.92,127.92,127.9,127.913,112,0,0,127.84956,127.88345,127.89766,0.02931,0.02896,0.03171,127.91325,127.89752625916152,127.92,127.89752625916152,1.0,buy break even,2022-04-27 12:04:00,127.923,127.866,,,,,
2022-04-28 10:21:00,130.156,130.21,130.156,130.163,245,0,0,129.96332,130.14067,130.26973,0.08886,0.08611,0.05652,130.17125,130.13121965461045,130.21,130.13121965461045,1.0,buy win_3,2022-04-28 10:43:00,130.07999999999998,129.947,,,,,
2022-04-28 17:00:00,130.897,130.899,130.857,130.878,186,0,0,130.69043,130.72658,130.74083,0.04825,0.0472,0.04933,130.88275,130.82196189203705,130.899,130.82196189203705,1.0,buy win_3,2022-04-28 17:15:00,130.81,130.71800000000002,,,,,
2022-04-29 13:08:00,130.323,130.342,130.307,130.339,160,0,0,130.2445,130.25182,130.31503,0.04045,0.03805,0.04039,130.32775,130.2597663254886,130.342,130.2597663254886,1.0,buy break even,2022-04-29 13:25:00,130.2765,130.20800000000003,,,,,
2022-04-29 16:25:00,130.245,130.289,130.245,130.285,219,0,0,130.14816,130.15051,130.18204,0.04967,0.04945,0.04397,130.266,130.2000221006181,130.289,130.2000221006181,1.0,buy break even,2022-04-29 16:45:00,130.2165,130.14100000000002,,,,,
2022-05-02 17:07:00,130.108,130.175,130.095,130.16,235,0,0,130.00865,130.02995,130.07311,0.05263,0.04982,0.02931,130.1345,130.06001500143216,130.175,130.06001500143216,1.0,buy break even,2022-05-02 17:22:00,130.1015,130.025,,,,,
2022-05-02 17:40:00,130.101,130.104,130.073,130.098,175,0,0,130.04329,130.07308,130.11038,0.0335,0.03388,0.03248,130.094,130.0795496450001,130.104,130.073,1.0,buy win_3,2022-05-02 18:13:00,130.107,130.049,,,,,
2022-05-03 09:15:00,130.097,130.116,130.097,130.115,69,0,0,130.08688,130.10794,130.12419,0.02073,0.02092,0.01533,130.10625,130.0877708729524,130.116,130.0877708729524,1.0,buy break even,2022-05-03 09:34:00,130.119,130.067,,,,,
2022-05-03 09:48:00,130.125,130.132,130.122,130.124,112,0,0,130.0977,130.11516,130.12288,0.0214,0.02169,0.0164,130.12575,130.1077001353259,130.132,130.1077001353259,1.0,buy break even,2022-05-03 09:58:00,130.135,130.08300000000003,,,,,
2022-05-03 10:01:00,130.156,130.235,130.156,130.218,244,0,0,130.10471,130.12319,130.13644,0.02764,0.02433,0.0171,130.19125,130.14255834352235,130.235,130.14255834352235,1.0,buy break even,2022-05-03 10:19:00,130.178,130.11800000000002,,,,,
2022-05-03 10:31:00,130.182,130.2,130.17,130.176,107,0,0,130.13179,130.15692,130.18157,0.02821,0.02738,0.01973,130.182,130.15748016680527,130.2,130.15748016680527,1.0,buy break even,2022-05-03 11:09:00,130.161,130.11900000000003,,,,,
2022-05-04 17:47:00,130.006,130.026,130.001,130.025,93,0,0,129.99642,130.01187,130.04113,0.02403,0.0239,0.0249,130.0145,129.99923650372725,130.026,129.99923650372725,1.0,buy lose,2022-05-04 17:56:00,130.029,129.979,,,,,
2022-05-05 14:19:00,129.736,129.776,129.73,129.766,180,0,0,129.66322,129.69205,129.71623,0.03261,0.03092,0.02538,129.752,129.72006942405727,129.776,129.72006942405727,1.0,buy win_3,2022-05-05 14:24:00,129.72899999999998,129.679,,,,,
2022-05-05 15:25:00,129.775,129.81,129.775,129.796,236,0,0,129.77267,129.82178,129.85179,0.0332,0.03344,0.02709,129.789,129.766453166293,129.81,129.766453166293,1.0,buy break even,2022-05-05 15:30:00,129.777,129.741,,,,,
2022-05-05 18:35:00,130.312,130.328,130.288,130.311,204,0,0,130.13874,130.22953,130.31101,0.03752,0.03547,0.03879,130.30975,130.2896801107933,130.328,130.288,1.0,buy win_3,2022-05-05 18:55:00,130.2775,130.22400000000002,,,,,
2022-05-09 09:30:00,131.044,131.053,131.04,131.043,111,0,0,130.99366,131.02526,131.04391,0.02033,0.02123,0.02035,131.045,131.03693479171588,131.053,131.03693479171588,1.0,buy win_3,2022-05-09 09:40:00,131.05599999999998,131.014,,,,,
