,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop
2022-05-25 14:58:00,1.24897,1.24898,1.24889,1.24893,77,0,0,1.25027,1.24961,1.24914,0.00035,0.00035,0.00034,1.24894,1.249319704359507,1.249319704359507,1.24889,1.0,sell break even,2022-05-25 15:07:00,1.2492800000000002,1.24971,,,,,
2022-05-25 18:44:00,1.25386,1.25422,1.2538,1.25404,111,0,0,1.25282,1.25357,1.25424,0.00031,0.00031,0.00037,1.25398,1.2536990711473628,1.25422,1.2536990711473628,,,,,,1.0,buy lose,2022-05-25 18:51:00,1.253855,1.25346
2022-05-25 18:56:00,1.25355,1.25387,1.25346,1.25385,90,0,0,1.25291,1.25358,1.254,0.00029,0.00029,0.00037,1.25368,1.2534778903982295,1.25387,1.25346,,,,,,1.0,buy win_3,2022-05-25 19:02:00,1.253545,1.25319
2022-05-26 10:58:00,1.25805,1.2582,1.25794,1.25816,111,0,0,1.2574,1.25754,1.25808,0.00037,0.00037,0.00027,1.25809,1.2578474155271513,1.2582,1.2578474155271513,,,,,,1.0,buy win_3,2022-05-26 10:59:00,1.257865,1.2575
2022-05-27 16:07:00,1.26306,1.26348,1.26306,1.26347,132,0,0,1.262,1.26233,1.26281,0.00037,0.00036,0.00031,1.26327,1.2626870286573206,1.26348,1.2626870286573206,,,,,,1.0,buy break even,2022-05-27 16:15:00,1.262855,1.2622
2022-05-27 16:25:00,1.26248,1.26271,1.2624,1.26256,129,0,0,1.26211,1.26241,1.2627,0.00032,0.00032,0.00032,1.26254,1.2621398012429377,1.26271,1.2621398012429377,,,,,,1.0,buy win_3,2022-05-27 16:27:00,1.262275,1.26181
2022-05-27 16:27:00,1.2634,1.26347,1.2633,1.26344,64,0,0,1.26213,1.26245,1.26276,0.00035,0.00033,0.00032,1.2634,1.2626599503107343,1.26347,1.2626599503107343,,,,,,1.0,buy win_3,2022-05-27 16:48:00,1.26272,1.26194
2022-05-30 14:06:00,1.26454,1.26463,1.2645,1.26454,49,0,0,1.26409,1.26431,1.26454,0.00025,0.00024,0.00024,1.26455,1.264169301010237,1.26463,1.264169301010237,,,,,,1.0,buy win_3,2022-05-30 14:28:00,1.264265,1.26387
2022-05-30 17:56:00,1.26454,1.26501,1.26438,1.26488,210,0,0,1.26397,1.26401,1.26412,0.00031,0.00025,0.00024,1.2647,1.2638149812185495,1.26501,1.2638149812185495,,,,,,1.0,buy break even,2022-05-31 02:33:00,1.2641900000000001,1.2633400000000001
2022-05-31 12:52:00,1.26125,1.26125,1.2608,1.26084,96,0,0,1.26138,1.26136,1.26121,0.00028,0.00028,0.00031,1.26103,1.2613599187940268,1.2613599187940268,1.2608,1.0,sell win_3,2022-05-31 12:59:00,1.2612,1.26164,,,,,
