,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop
2022-04-19 08:29:00,1.07721,1.07722,1.07715,1.07717,17,0,0,1.07733,1.07727,1.07717,0.00012,0.00012,0.00013,1.07719,1.0772798726823565,1.0772798726823565,1.07715,,,,,,2.0,,1970-01-01 00:00:00,1.07712,1.0774
2022-04-19 17:55:00,1.07885,1.07896,1.0787,1.07888,154,0,0,1.07948,1.07946,1.07927,0.00031,0.00029,0.00027,1.07885,1.0790384112900049,1.0790384112900049,1.0787,,,,,,1.0,sell break even,2022-04-19 18:17:00,1.07908,1.07949
2022-04-19 18:30:00,1.07938,1.07938,1.07916,1.07924,97,0,0,1.07933,1.07925,1.07912,0.00024,0.00025,0.00029,1.07929,1.0794963899314904,1.0794963899314904,1.07916,,,,,,1.0,sell break even,2022-04-19 18:53:00,1.07913,1.07967
2022-04-19 18:55:00,1.079,1.07902,1.07882,1.07882,69,0,0,1.07923,1.07912,1.07895,0.00021,0.0002,0.00029,1.07891,1.079008310488057,1.07902,1.07882,,,,,,1.0,sell lose,2022-04-19 19:28:00,1.07879,1.07931
2022-04-20 17:44:00,1.0846,1.08487,1.08458,1.08486,90,0,0,1.0841,1.08432,1.08478,0.00028,0.00028,0.00026,1.08473,1.0845148276376293,1.08487,1.0845148276376293,1.0,buy win_3,2022-04-20 17:58:00,1.0849,1.08429,,,,,
2022-04-22 12:22:00,1.08023,1.08046,1.08022,1.08042,103,0,0,1.08121,1.0805,1.08004,0.00028,0.00028,0.00029,1.08033,1.0804942268431272,1.0804942268431272,1.08022,,,,,,1.0,sell lose,2022-04-22 12:26:00,1.08019,1.08079
2022-04-22 12:29:00,1.08055,1.08055,1.08039,1.08048,95,0,0,1.08117,1.08051,1.08017,0.00027,0.00027,0.00029,1.08049,1.0806342517722118,1.0806342517722118,1.08039,,,,,,1.0,sell break even,2022-04-22 12:41:00,1.08036,1.08089
2022-04-22 18:58:00,1.0788,1.07891,1.07874,1.07879,85,0,0,1.07964,1.07903,1.07857,0.00027,0.00027,0.00032,1.07881,1.0788923640228076,1.07891,1.07874,,,,,,1.0,sell break even,2022-04-22 20:30:00,1.07871,1.07927
2022-04-25 09:07:00,1.07744,1.07747,1.077,1.07702,113,0,0,1.078,1.07771,1.07749,0.00024,0.00023,0.00013,1.07723,1.0775611942442054,1.0775611942442054,1.077,,,,,,1.0,sell win_3,2022-04-25 09:12:00,1.077365,1.07776
2022-04-25 12:51:00,1.07384,1.0739,1.07383,1.07384,43,0,0,1.07444,1.07422,1.07421,0.00024,0.00024,0.00035,1.07385,1.0740656999708746,1.0740656999708746,1.07383,,,,,,1.0,sell win_3,2022-04-25 13:05:00,1.0738,1.0743
