,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,adx,di_p,di_n,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,adx_heikin_ema_buy,adx_heikin_ema_buy_results,adx_heikin_ema_buy_end,adx_heikin_ema_buy_enter,adx_heikin_ema_buy_stop,adx_heikin_ema_sell,adx_heikin_ema_sell_results,adx_heikin_ema_sell_end,adx_heikin_ema_sell_enter,adx_heikin_ema_sell_stop
2022-05-12 10:00:00,1.05029,1.05048,1.05003,1.05019,204,0,0,1.05115,1.0509,1.05076,26.11968007163313,16.977365443414545,31.210088135495965,0.0003,0.00029,0.00019,1.05025,1.0505363523741855,1.0505363523741855,1.05003,,,,,,1.0,sell win_3,2022-05-12 10:05:00,1.05058,1.0511599999999999
2022-05-12 14:09:00,1.04414,1.04414,1.0439,1.0439,64,0,0,1.04455,1.04383,1.04369,20.40794482490595,22.423346088164468,15.39713913104864,0.00026,0.00026,0.00035,1.04402,1.0441628017876683,1.0441628017876683,1.0439,,,,,,1.0,sell win_3,2022-05-12 14:25:00,1.04387,1.04439
2022-05-12 16:07:00,1.04187,1.04196,1.04177,1.04188,117,0,0,1.04256,1.04203,1.04198,18.03313425711443,19.76360383237616,23.442822332828243,0.0004,0.00041,0.00034,1.04187,1.0420632544455009,1.0420632544455009,1.04177,,,,,,1.0,sell break even,2022-05-12 16:11:00,1.042105,1.04247
2022-05-12 16:16:00,1.04203,1.04203,1.04149,1.04155,157,0,0,1.04251,1.04202,1.04199,12.48920033853212,21.82952368045672,26.749445779875806,0.0004,0.00039,0.00034,1.04177,1.042149244637589,1.042149244637589,1.04149,,,,,,1.0,sell win_3,2022-05-12 16:34:00,1.042055,1.04265
2022-05-12 17:20:00,1.04119,1.04119,1.04051,1.04051,182,0,0,1.04161,1.04105,1.04058,27.031826064249667,27.84537131005445,26.4710259218514,0.00045,0.00045,0.00039,1.04085,1.0413435487286502,1.0413435487286502,1.04051,,,,,,1.0,sell lose,2022-05-12 17:24:00,1.04102,1.04156
2022-05-12 17:27:00,1.04078,1.04086,1.04056,1.0406,168,0,0,1.04157,1.04105,1.0407,19.73040209644938,20.981847438642163,25.353815931191992,0.00046,0.00047,0.0004,1.0407,1.0411643245994426,1.0411643245994426,1.04056,,,,,,1.0,sell win_3,2022-05-12 17:40:00,1.0410650000000001,1.0416
2022-05-17 12:29:00,1.0478,1.04785,1.04769,1.04776,65,0,0,1.04695,1.04756,1.04805,21.363351891572396,15.5034378402092,25.869934291797144,0.00024,0.00025,0.00026,1.04778,1.0476612512530694,1.04785,1.0476612512530694,1.0,buy lose,2022-05-17 12:46:00,1.04788,1.04744,,,,,
2022-05-17 13:00:00,1.04767,1.0477,1.04765,1.04767,36,0,0,1.04714,1.04759,1.04773,20.822486809020567,22.10106709997711,25.895923235318723,0.00022,0.00023,0.00026,1.04767,1.0475768701469437,1.0477,1.0475768701469437,1.0,buy break even,2022-05-17 13:14:00,1.04773,1.04733,,,,,
2022-05-17 13:17:00,1.04873,1.04959,1.04858,1.04928,223,0,0,1.04727,1.04769,1.04787,18.88561343489177,52.51685937283423,14.030582748083877,0.00032,0.00023,0.00026,1.04904,1.0479762233495342,1.04959,1.0479762233495342,1.0,buy win_3,2022-05-17 13:19:00,1.048585,1.04755,,,,,
2022-05-17 13:19:00,1.05079,1.0513,1.05065,1.05101,307,0,0,1.04734,1.0478,1.04811,26.285334385310097,61.7303154810721,9.104629659332918,0.00042,0.00032,0.00026,1.05094,1.0492740558373836,1.0513,1.0492740558373836,1.0,buy win_3,2022-05-17 14:37:00,1.04944,1.04755,,,,,
